,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.7502049771166193,,Intercept,335.57786621755,336.0,0.42213378244997557,336.0
1,1,grade:A,2.010595117156358,0.0,grade,166.02013277588776,166.0,-0.020132775887759635,166.0
2,2,grade:B,1.3626977796010522,2.9480894780509145e-188,grade,112.5215436824223,113.0,0.47845631757769524,113.0
3,3,grade:C,0.9671604251888858,2.890393485051073e-101,grade,79.86098286786795,80.0,0.1390171321320537,80.0
4,4,grade:D,0.6500944408208023,2.846020185028866e-47,grade,53.68000969513087,54.0,0.3199903048691297,54.0
5,5,grade:E,0.3836877765635256,3.1047429645126646e-17,grade,31.68210997132742,32.0,0.3178900286725792,32.0
6,6,grade:F,0.16012527016864547,0.0009302810585320332,grade,13.22196517206903,13.0,-0.2219651720690301,12.0
7,7,home_ownership:OWN,0.09102000464120576,6.191774544226203e-06,home_ownership,7.515761441402004,8.0,0.4842385585979958,8.0
8,8,home_ownership:MORTGAGE,0.11003973748652959,2.909701616816944e-18,home_ownership,9.086270861920513,9.0,-0.08627086192051259,9.0
9,9,addr_state:NM_VA,0.032646586996284734,0.3082223151415796,addr_state,2.6957146476454246,3.0,0.30428535235457543,3.0
10,10,addr_state:NY,0.04941997225752041,0.041178106812296195,addr_state,4.080737233450752,4.0,-0.08073723345075212,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05369736942626026,0.020378819932626618,addr_state,4.433933180178087,4.0,-0.43393318017808724,4.0
12,12,addr_state:CA,0.06052213866283374,0.00429744670005481,addr_state,4.9974723458472186,5.0,0.0025276541527814445,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07237232932343136,0.0036586957224868898,addr_state,5.975973790570963,6.0,0.024026209429036882,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1285619455971095,1.1445507676404498e-08,addr_state,10.615698355094896,11.0,0.3843016449051042,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.1000307827972076,0.0008048500942615803,addr_state,8.259805119369991,8.0,-0.2598051193699913,8.0
16,16,addr_state:GA_WA_OR,0.17776603252269732,2.566702801644502e-11,addr_state,14.678609368255952,15.0,0.32139063174404825,15.0
17,17,addr_state:WI_MT,0.24553961249184844,2.693049597558844e-07,addr_state,20.27485231601036,20.0,-0.2748523160103602,20.0
18,18,addr_state:TX,0.21608586671767727,8.723073484543149e-17,addr_state,17.842778974913674,18.0,0.15722102508632574,18.0
19,19,addr_state:IL_CT,0.26018391850789013,5.537470744256367e-19,addr_state,21.484071222615764,21.0,-0.4840712226157642,21.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3120265942461407,4.0731299970555774e-24,addr_state,25.764857461515355,26.0,0.23514253848464506,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.4878165981547601,1.7813956511239015e-20,addr_state,40.28030094416916,40.0,-0.28030094416916285,40.0
22,22,verification_status:Not Verified,0.09906646765239166,1.1143922609148557e-11,verification_status,8.18017907879422,8.0,-0.1801790787942199,8.0
23,23,verification_status:Source Verified,-0.0008311014691019995,0.9506113360484125,verification_status,-0.06862623661679722,-0.0,0.06862623661679722,-0.0
24,24,purpose:credit_card,0.2985925780237645,3.790900926157107e-26,purpose,24.655575369899253,25.0,0.34442463010074675,25.0
25,25,purpose:debt_consolidation,0.19108797517086043,1.8098945297162018e-13,purpose,15.778637249756473,16.0,0.22136275024352692,16.0
26,26,purpose:oth__med__vacation,0.2035418184416453,5.784368169639379e-11,purpose,16.806983879937317,17.0,0.19301612006268343,17.0
27,27,purpose:major_purch__car__home_impr,0.2693184061894317,6.243908156197423e-18,purpose,22.23832992183815,22.0,-0.23832992183815094,22.0
28,28,initial_list_status:w,0.05701569750437558,1.2729298292085652e-05,initial_list_status,4.7079362668372395,5.0,0.29206373316276046,5.0
29,29,term:36,0.08273961578532278,2.8951128391589056e-09,term,6.8320279310799625,7.0,0.16797206892003747,7.0
30,30,emp_length:1,0.09939016369995839,0.0001233949279524092,emp_length,8.206907513742408,8.0,-0.2069075137424079,8.0
31,31,emp_length:2-4,0.12918186666967432,6.619462401172142e-12,emp_length,10.666886870325822,11.0,0.33311312967417805,11.0
32,32,emp_length:5-6,0.09413819890384408,1.0310448561710045e-05,emp_length,7.773238951959375,8.0,0.22676104804062458,8.0
33,33,emp_length:7-9,0.06335375457429082,0.002246284660053631,emp_length,5.231286327378867,5.0,-0.231286327378867,5.0
34,34,emp_length:10,0.1290919004908089,2.0264891317801794e-12,emp_length,10.659458126053478,11.0,0.34054187394652224,11.0
35,35,mths_since_issue_d:<38,0.9765669882283723,3.4324216285919092e-189,mths_since_issue_d,80.63770754577776,81.0,0.3622924542222421,81.0
36,36,mths_since_issue_d:38-39,0.792278109312789,9.358859946608737e-101,mths_since_issue_d,65.42048957602711,65.0,-0.42048957602710857,65.0
37,37,mths_since_issue_d:40-41,0.7064357608617942,1.6975671718525002e-96,mths_since_issue_d,58.3322608391621,58.0,-0.33226083916210314,58.0
38,38,mths_since_issue_d:42-48,0.491438090203495,1.9443391432037364e-61,mths_since_issue_d,40.579337078121455,41.0,0.42066292187854515,41.0
39,39,mths_since_issue_d:49-52,0.3166385521166417,2.9639748934831386e-24,mths_since_issue_d,26.145678966294646,26.0,-0.14567896629464627,26.0
40,40,mths_since_issue_d:53-64,0.04199317922465868,0.1481743993010026,mths_since_issue_d,3.4674873777768735,3.0,-0.46748737777687355,3.0
41,41,mths_since_issue_d:65-84,-0.10023119147789065,0.0009948064345964198,mths_since_issue_d,-8.276353391815565,-8.0,0.2763533918155652,-8.0
42,42,mths_since_earliest_cr_line:141-164,0.0400453045355934,0.09709627143455452,mths_since_earliest_cr_line,3.3066462358930795,3.0,-0.3066462358930795,3.0
43,43,mths_since_earliest_cr_line:165-247,0.043711790969725474,0.02364339751674936,mths_since_earliest_cr_line,3.6093976747190704,4.0,0.39060232528092964,4.0
44,44,mths_since_earliest_cr_line:248-270,0.09826676228109245,0.00015006068767060008,mths_since_earliest_cr_line,8.114145300639787,8.0,-0.11414530063978745,8.0
45,45,mths_since_earliest_cr_line:271-352,0.12969503204573501,1.5359749528736854e-08,mths_since_earliest_cr_line,10.709260286605712,11.0,0.29073971339428795,11.0
46,46,mths_since_earliest_cr_line:>352,0.13819624215599305,1.8255361672964934e-07,mths_since_earliest_cr_line,11.411227589329943,11.0,-0.4112275893299433,11.0
47,47,inq_last_6mths:0,0.5004763486215202,9.02447595244442e-16,inq_last_6mths,41.325649873681,41.0,-0.3256498736810016,41.0
48,48,inq_last_6mths:1-2,0.3481751363037852,2.0528111771332513e-08,inq_last_6mths,28.74973775932133,29.0,0.2502622406786692,29.0
49,49,inq_last_6mths:3-6,0.15176374515027113,0.01654394369776814,inq_last_6mths,12.53153203517633,13.0,0.46846796482367026,13.0
50,50,acc_now_delinq:>=1,0.11963771921802102,0.25624856183351896,acc_now_delinq,9.878801485239853,10.0,0.12119851476014709,10.0
51,51,annual_inc:20K-30K,-0.13728552381916606,0.00011756673589831705,annual_inc,-11.33602717831169,-11.0,0.3360271783116904,-11.0
52,52,annual_inc:30K-40K,-0.06866281049964315,0.039530146502724704,annual_inc,-5.669669054025599,-6.0,-0.33033094597440105,-6.0
53,53,annual_inc:40K-50K,0.02185591309168979,0.5085596909995337,annual_inc,1.8047002912016037,2.0,0.1952997087983963,2.0
54,54,annual_inc:50K-60K,0.09125609218009396,0.0065089362397200284,annual_inc,7.535255811112991,8.0,0.46474418888700875,8.0
55,55,annual_inc:60K-70K,0.16356310863326373,2.266045936364746e-06,annual_inc,13.50583654601587,14.0,0.49416345398413064,14.0
56,56,annual_inc:70K-80K,0.23768790341381127,2.3161728316884045e-11,annual_inc,19.626516023670703,20.0,0.37348397632929675,20.0
57,57,annual_inc:80K-90K,0.3132300909512192,8.138847312231311e-17,annual_inc,25.86423335329364,26.0,0.13576664670636163,26.0
58,58,annual_inc:90K-100K,0.34727290499115554,1.5109282260264592e-18,annual_inc,28.675238144237618,29.0,0.32476185576238237,29.0
59,59,annual_inc:100K-120K,0.4227789618255961,2.1868157846318614e-27,annual_inc,34.90997206658341,35.0,0.09002793341659299,35.0
60,60,annual_inc:120K-140K,0.526744370144496,6.2953266029352416e-30,annual_inc,43.49466957525684,43.0,-0.4946695752568431,43.0
61,61,annual_inc:>140K,0.44276613490200667,4.993776866533308e-27,annual_inc,36.5603655742795,37.0,0.4396344257204987,37.0
62,62,dti:<=1.4,0.10190219522745825,0.218380875789551,dti,8.41433257121623,8.0,-0.4143325712162298,8.0
63,63,dti:1.4-3.5,0.24200128497002704,0.0005452503564869008,dti,19.982683296019804,20.0,0.017316703980196024,20.0
64,64,dti:3.5-7.7,0.23565106192203292,9.251726098762894e-05,dti,19.458328658634848,19.0,-0.45832865863484784,19.0
65,65,dti:7.7-10.5,0.17041114178532785,0.00448009242707614,dti,14.071296674441593,14.0,-0.0712966744415926,14.0
66,66,dti:10.5-16.1,0.09810499853562069,0.09078501509460755,dti,8.10078804224779,8.0,-0.1007880422477907,8.0
67,67,dti:16.1-20.3,-0.004499803657358284,0.9382826798501501,dti,-0.3715606360949653,-0.0,0.3715606360949653,-0.0
68,68,dti:20.3-21.7,-0.018731181166505365,0.758035029883243,dti,-1.5466829486339553,-2.0,-0.4533170513660447,-2.0
69,69,dti:21.7-22.4,-0.06395953978974743,0.323680587962054,dti,-5.281307607668267,-5.0,0.2813076076682668,-5.0
70,70,dti:22.4-35,-0.09663161963362873,0.09271384400334484,dti,-7.97912726686311,-8.0,-0.020872733136889643,-8.0
71,71,mths_since_last_delinq:Missing,0.08580048025083792,0.10212825586326857,mths_since_last_delinq,7.084771569337938,7.0,-0.08477156933793761,7.0
72,72,mths_since_last_delinq:4-30,0.11050783694488742,0.03715757752434106,mths_since_last_delinq,9.124923066715878,9.0,-0.12492306671587805,9.0
73,73,mths_since_last_delinq:31-56,0.15801214938112182,0.003258851854122618,mths_since_last_delinq,13.047479224738005,13.0,-0.047479224738005144,13.0
74,74,mths_since_last_delinq:>=57,0.10973537774026038,0.045913147204461054,mths_since_last_delinq,9.061139076283474,9.0,-0.06113907628347448,9.0
75,75,mths_since_last_record:Missing,0.10934653463118878,0.16603906976532745,mths_since_last_record,9.029031276932823,9.0,-0.029031276932823147,9.0
76,76,mths_since_last_record:3-20,0.21745008945897265,0.07195188521002785,mths_since_last_record,17.955426438698467,18.0,0.044573561301533005,18.0
77,77,mths_since_last_record:21-31,0.09904938974013686,0.36820077793486994,mths_since_last_record,8.178768910612728,8.0,-0.17876891061272815,8.0
78,78,mths_since_last_record:32-80,0.2932521854476974,0.0004276658973967198,mths_since_last_record,24.21460509349274,24.0,-0.21460509349273948,24.0
79,79,mths_since_last_record:81-86,-0.09588809092842472,0.3369802764358837,mths_since_last_record,-7.917732143942867,-8.0,-0.0822678560571326,-8.0
80,80,mths_since_last_record:>86,0.024109511755885667,0.7687470874471954,mths_since_last_record,1.9907858666915732,2.0,0.009214133308426797,2.0
81,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
82,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
83,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
84,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
85,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
86,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
87,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
88,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
89,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
90,9,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
91,10,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
92,11,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
93,12,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
94,13,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
95,14,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
96,15,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
